,stock,sample_mean,interval_left,interval_right
365,TNC,1.0001881562877553,0.9993092795842905,1.0010678059493778
326,CLL,1.000376086145541,0.9992975957629849,1.0014557404871722
216,HDB,1.0005471000028172,0.9992960224649132,1.0017997438383655
28,VIS,1.0001219718903742,0.9992941738358216,1.0009504556785547
103,SHA,1.0002067457831396,0.9992833137727473,1.0011310311317856
121,SCR,1.0004794297348514,0.9992727283978868,1.0016875882597038
158,LSS,0.9999932719968225,0.9992632522988859,1.000723825016442
135,PVD,0.9999658280262277,0.9992580324398878,1.0006741249591424
335,APC,1.00004332395262,0.99925644424347,1.0008308233021843
220,HHS,1.0002126588204778,0.9992507299152883,1.001175513726711
91,ST8,1.000094207030013,0.9992498035464209,1.0009393240661526
291,DTL,1.0003473690509304,0.9992475380751535,1.0014484105657668
46,TRC,0.9998953129664089,0.9992451161773237,1.0005459328307311
145,PC1,1.0002450849786035,0.9992403628568708,1.0012508173342893
124,PLX,1.0003358714667243,0.9992341740435537,1.001438783557331
383,TS4,0.9999373291716143,0.9992304710757267,1.0006446873006594
27,VIP,0.9999328984958058,0.9992300084062119,1.0006362830205886
211,IDI,1.0001223662940844,0.9992279934759165,1.0010175396329972
425,BT6,1.0000102198720968,0.9992170735456305,1.0008039957725685
126,PMG,1.0004236102774056,0.9992051133197094,1.0016435931510723
306,CTI,1.0000443725742552,0.9991996623671785,1.0008897968881925
186,ITA,0.999960955325345,0.999197985910125,1.0007245073301385
310,DAG,0.999974586065455,0.9991961267369738,1.0007536518804006
23,VHM,1.0003847088722027,0.999194735283678,1.0015760996390726
125,PME,1.0002498324186913,0.9991945037079843,1.0013062757459052
352,BRC,1.0004407167294938,0.9991871126448443,1.0016958936158549
235,EVE,1.000165235164097,0.9991848272221564,1.0011466050899536
258,GTN,1.0002751545848343,0.999182446613094,1.0013690575442524
156,LM8,1.0001676575697374,0.9991822317445266,1.0011540552537603
354,AAM,1.0000357027232911,0.9991749328360428,1.0008972141471557
332,AGR,1.000018909322429,0.9991675570110905,1.0008709870383834
16,VTB,1.0000245626216062,0.9991641794749313,1.0008856866466818
15,VSI,1.000354960610292,0.9991573712653038,1.0015539853850537
268,DBD,1.000077991812729,0.9991502802216676,1.0010065647845188
190,KBC,0.9999627753677875,0.9991494288947289,1.000776783936491
1,VNL,1.0003093273025878,0.9991455263744607,1.001474483821632
17,VTO,0.999801260827029,0.9991447206909978,1.00045823237699
336,APG,1.0005252559597189,0.9991349044232158,1.0019175422473616
205,HUB,1.0011635607514773,0.9991329758366071,1.0031982725195256
188,ITD,1.000250672645201,0.9991313605562285,1.0013712386829552
231,HT1,0.9998418833041076,0.9991256267701454,1.0005586533104587
136,PVT,0.9998655735534177,0.9991236108965951,1.0006080872017074
187,ITC,0.9998963894068108,0.9991191238263363,1.000674259661711
242,FLC,1.0001977953995043,0.9991170021921185,1.0012797577532009
252,GEX,1.0003500743068625,0.9991164669600928,1.0015852047864562
74,TCH,1.0004019687196304,0.9991147002532264,1.001690895714434
340,AST,1.0002867585998862,0.9991066897703178,1.0014682212369999
47,TSC,1.0000214666832445,0.9991024130196646,1.0009413657652977
366,TIX,1.0004372369247354,0.9991016100339797,1.0017746493187605
339,ASP,0.9998550997375267,0.9991012504162929,1.0006095178587684
44,TPC,1.0000148404292468,0.9991008486934896,1.000929668297707
98,SFG,0.9999811744833743,0.9990955021904157,1.0008676319018879
54,TVT,1.0003494762892038,0.9990878402152432,1.0016127055419812
170,NAV,1.000201244832337,0.9990853810581747,1.001318354898344
166,MSH,1.0005912139589241,0.9990833165738761,1.0021013871847213
396,TV1,1.0003690139767487,0.999080245307965,1.0016594450992635
233,HTL,1.0006154837968202,0.9990687150938932,1.0021646472233374
138,PXS,0.9999537833187198,0.999068400818087,1.0008399504524885
308,CVT,1.0003568016285396,0.9990578546095563,1.0016574375020275
257,GTA,0.9999033235017135,0.9990559483636585,1.0007514173629048
379,PNC,1.0000780273957546,0.9990393750150481,1.0011177596125467
120,SCD,0.9999490106183839,0.9990370361679561,1.0008618175678765
337,APH,1.001774805220281,0.9990331887077333,1.0045239454679626
0,ELC,0.9998472481868091,0.9990201316667624,1.0006750494996002
297,CMX,1.0001644348389855,0.9990128588890937,1.0013173382264138
384,L10,1.0000169953873113,0.9990019447764239,1.0010330773552925
8,VPH,0.9998493494268399,0.9990014802205955,1.0006979382338108
111,SMA,1.0001396652738053,0.9989915369772407,1.001289113099652
382,HU3,1.0001350615262259,0.9989855219463943,1.0012859238892375
32,VNE,0.9997600990487946,0.9989843971892817,1.0005364032334054
426,TTP,1.0001051774755163,0.9989832582221013,1.0012283567128208
260,HAG,0.9997136210376182,0.9989798046681255,1.0004479764434973
6,VPD,1.0000364697677073,0.99896928051214,1.0011047990912723
128,POM,0.9998888663008703,0.9989686148008101,1.0008099655380973
362,TCO,1.0007775630779465,0.9989662998399506,1.0025921103852025
285,DQC,0.9997246009456467,0.998964019105965,1.0004857618699838
33,VNG,0.9999373113282305,0.9989535060473543,1.0009220854958714
241,FIT,1.0003099274668934,0.9989533684823323,1.0016683286318173
318,CCI,1.0002090785351658,0.9989352658339474,1.00148451556466
343,BCM,1.0021332504624254,0.9989322362814145,1.0053445220877502
196,KPF,1.000466875594126,0.998908698694789,1.0020274830611944
